Characteristic,Number_of_items
Cigarette butts,964512
Food wrappers,627014
Plastic bottle caps,409855
Plastic grocery bags,272399
"Straws, stirrers",224170
Plastic take out containers,222289
Beverage cans,162750
Glass beverage bottles,146255
Other trash,519438
