Characteristic,Number_of_items
Cigarette butts,"964,521"
Food wrappers,"627,014"
Plastic bottle caps,"409,855"
Plastic grocery bags,"272,399"
"Straws, stirrers","224,170"
Plastic take out containers,"222,289"
Beverage cans,"162,750"
Glass beverage bottles,"146,255"
Other trash,"519,438"
